Equipment Type;Component Type;gff_Small;gff_Medium;gff_Large;gff_Rupture;
Compressor;COMPC;0.000008;0.00002;0.000002;0;0.00003
Compressor;COMPR;0.000008;0.00002;0.000002;0.0000006;0.0000306
Heat exchanger;HEXSS;0.000008;0.00002;0.000002;0.0000006;0.0000306
Heat exchanger;HEXTS;0.000008;0.00002;0.000002;0.0000006;0.0000306
Pipe;PIPE-1;0.000028;0;0;0.0000026;0.0000306
Pipe;PIPE-2;0.000028;0;0;0.0000026;0.0000306
Pipe;PIPE-4;0.000008;0.00002;0;0.0000026;0.0000306
Pipe;PIPE-6;0.000008;0.00002;0;0.0000026;0.0000306
Pipe;PIPE-8;0.000008;0.00002;0.000002;0.0000006;0.0000306
Pipe;PIPE-10;0.000008;0.00002;0.000002;0.0000006;0.0000306
Pipe;PIPE-12;0.000008;0.00002;0.000002;0.0000006;0.0000306
Pipe;PIPE-16;0.000008;0.00002;0.000002;0.0000006;0.0000306
Pipe;PIPEGT16;0.000008;0.00002;0.000002;0.0000006;0.0000306
Pump;PUMP2S;0.000008;0.00002;0.000002;0.0000006;3.06
Pump;PUMPR;0.000008;0.00002;0.000002;0.0000006;3.06
Pump;PUMP1S;0.000008;0.00002;0.000002;0.0000006;3.06
Tank650;TANKBOTTOM;0.00072;0;0;0.000002;0.000722
Tank650;COURSE-1-10;0.00007;0.000025;0.000005;0.0000001;0.0001
Vessel;KODRUM;0.000008;0.00002;0.000002;0.0000006;0.0000306
Vessel;COLBTM;0.000008;0.00002;0.000002;0.0000006;0.0000306
Vessel;FINFAN;0.000008;0.00002;0.000002;0.0000006;0.0000306
Vessel;FILTER;0.000008;0.00002;0.000002;0.0000006;0.0000306
Vessel;DRUM;0.000008;0.00002;0.000002;0.0000006;0.0000306
Vessel;REACTOR;0.000008;0.00002;0.000002;0.0000006;0.0000306
Vessel;COLTOP;0.000008;0.00002;0.000002;0.0000006;0.0000306
Vessel;COLMID;0.000008;0.00002;0.000002;0.0000006;0.0000306
