Chemical;Release Duration (Minutes);Gas Release Constants_e;Gas Release Constants_f;Liquid Release Constants_e;Liquid Release Constants_f
AlCl3;All;3.4531;0.9411;N/A;N/A
CO;3;9.55;1.15;N/A;N/A
CO;5;60.09;1.06;N/A;N/A
CO;10;189.42;1.13;N/A;N/A
CO;20;651.49;1.11;N/A;N/A
CO;40;1252.67;1.17;N/A;N/A
CO;60;1521.89;1.21;N/A;N/A
HCl(Gas);3;47.39;1.09;N/A;N/A
HCl(Gas);5;123.67;1.15;N/A;N/A
HCl(Gas);10;531.45;1.1;N/A;N/A
HCl(Gas);20;950.02;1.18;N/A;N/A
HCl(Gas);40;1851.8;1.2;N/A;N/A
HCl(Gas);60;2118.87;1.23;N/A;N/A
Nitric acid;3;13230.9;1.25;1114.96;1.08
Nitric acid;5;17146;1.25;2006.1;1.02
Nitric acid;10;23851.3;1.24;2674.47;1.06
Nitric acid;20;31185;1.23;4112.65;1.06
Nitric acid;40;35813.7;1.22;6688.99;1.06
Nitric acid;60;38105.8;1.22;9458.29;1.12
NO2;3;1071.74;0.7;430;0.98
NO2;5;1466.57;0.68;610.31;1.04
NO2;10;1902.9;0.68;1340.93;1.07
NO2;20;2338.76;0.72;3020.54;1.08
NO2;40;3621.1;0.7;6110.67;1.12
NO2;60;4070.48;0.71;9455.68;1.13
Phosgene;3;3095.33;1.2;733.39;1.06
Phosgene;5;5918.49;1.29;1520.02;1.1
Phosgene;10;12129.3;1.24;4777.72;1.12
Phosgene;20;27459.6;1.27;14727.5;1.16
Phosgene;40;63526.4;1.3;42905;1.2
Phosgene;60;96274.2;1.31;77287.7;1.23
TDI;3;N/A;N/A;793.04;1.06
TDI;5;N/A;N/A;846.54;1.09
TDI;10;N/A;N/A;1011.9;1.1
TDI;20;N/A;N/A;1026.06;1.06
TDI;40;N/A;N/A;1063.8;1.06
TDI;60;N/A;N/A;1252.57;1.03
EE;1.5;0.8954;1.171;N/A;N/A
EE;3;1.7578;1.181;N/A;N/A
EE;5;4.0002;1.122;N/A;N/A
EE;10;7.54;1.111;0.6857;1.105
EE;20;24.56;0.971;3.6389;1.065
EE;40;31.22;0.995;9.8422;1.132
EE;60;59.67;0.899;23.513;1.104
EO;1.5;0.5085;1.222;N/A;N/A
EO;3;2.972;1.207;N/A;N/A
EO;5;7.9931;1.271;N/A;N/A
EO;10;47.69;1.2909;N/A;N/A
EO;20;237.57;1.2849;N/A;N/A
EO;40;1088.4;1.1927;N/A;N/A
EO;60;1767.5;1.203;N/A;N/A
PO;3;0.0008;1.913;N/A;N/A
PO;5;0.0864;1.217;2.4084;1.198
PO;10;0.1768;1.2203;9.0387;1.111
PO;20;0.4172;1.2164;17.425;1.114
PO;40;0.9537;1.2097;34.255;1.118
PO;60;1.2289;1.2522;367.06;0.9855
