Fluid;MW;"Liquid Density
(kg/m3)";NBP (C);Ambient State;Note Cp;Cp;"Ideal Gas Constant
A";"Ideal Gas Constant
B";"Ideal Gas Constant
C";"Ideal Gas Constant
D";"Ideal Gas Constant
E";"AIT
(C)"
C1-C2;23;250.512;-125;Gas;Note 1;4.927.567.573;12.3;0.115;-0.0000287;-1.30E-09;N/A;558
C3-C4;51;538.379;-21;Gas;Note 1;9.902.713.866;2.632;0.3188;-0.000135;1.47E-08;N/A;369
C5;72;625.199;36;Liquid;Note 1;1.383.723.981;-3.626;0.4873;-0.00026;0.000000053;N/A;284
C6-C8;100;684.018;99;Liquid;Note 1;1.914.361.528;-5.146;0.676;-0.000365;7.66E-08;N/A;223
C9-C12;149;734.012;184;Liquid;Note 1;2.840.370.859;-8.5;1.01;-0.000556;0.000000118;N/A;208
C13-C16;205;764.527;261;Liquid;Note 1;3.902.537.733;-11.7;1.39;-0.000772;0.000000167;N/A;202
C17-C25;280;775.019;344;Liquid;Note 1;5.118.873.889;-22.4;1.94;-0.00112;-0.000000253;N/A;202
C25+;422;900.026;527;Liquid;Note 1;5.118.873.889;-22.4;1.94;-0.00112;-0.000000253;N/A;202
Pyrophoric;149;734.012;184;Liquid;Note 1;2.840.370.859;-8.5;1.01;-0.000556;0.000000118;N/A;Note 4
Aromatics;104;683.986;145;Liquid;Note 2;4.231.658.641;89300;215000;772;99900;2440;490
Styrene;104;683.986;145;Liquid;Note 2;4.231.658.641;89300;215000;772;99900;2440;490
Water;18;997.947;100;Liquid;Note 3;7.595.710.694;276000;-2090;8.125;-0.0141;0.00000937;N/A
Steam;18;997.947;100;Gas;Note 3;1.86E+13;33400;26800;2610;8900;1170;N/A
Acid/Caustic;18;997.947;100;Liquid;Note 3;7.595.710.694;276000;-2090;8.125;-0.0141;0.00000937;N/A
Methanol;32;800.92;65;Liquid;Note 2;767216463.6;39300;87900;1920;53700;897;464
Ammonia;17.03;0.769;-33.34;Gas;;;;;;;;N/A
H2;2;71.01;-253;Gas;Note 1;2.898.956.409;27.1;0.00927;-0.0000138;7.65E-09;N/A;400
H2S;34;993.029;-59;Gas;Note 1;3.491.940.033;31.9;0.00144;0.0000243;-1.18E-08;N/A;260
HF;20;967.031;20;Gas;Note 1;2.919.036.854;29.1;0.000661;-0.00000203;2.50E-09;N/A;17760
HCl(Gas);36;1.185.362;-85;Gas;;;;;;;;N/A
CO;28;800.92;-191;Gas;Note 2;9.495.336.888;29100;8770;3090;8460;1540;609
DEE;74;720.828;35;Liquid;Note 2;11764790771;86200;255000;1540;144000;-689;160
Nitric acid;63;1.521.749;121;Liquid;;;;;;;;N/A
AlCl3;133.5;2.434.798;194;Powder;Note 1;1.06E+12;43400;39700;417;24000;N/A;558
NO2;90;929.068;135;Liquid;;;;;;;;N/A
Phosgene;99;1.377.583;83;Liquid;;;;;;;;N/A
TDI;174;1.217.399;251;Liquid;;;;;;;;620
PO;58;832.957;34;Liquid;Note 2;6164820945;49500;174000;1560;115000;702;449
EEA;132;977.123;156;Liquid;Note 2;64175524.47;106000;240000;659;150000;1970;379
EE;90;929.068;135;Liquid;Note 2;35436975773;32500;300000;1170;208000;473;235
EG;62;1105.27;197;Liquid;Note 2;3493964820;63000;146000;1670;97300;774;396
EO;44;881.013;11;Gas;Note 2;2757924883;33500;121000;1610;82400;737;429
