Fluid;Fluid Type;AINL_CONT_Gas_a;AINL_CONT_Gas_b;AINL_CONT_Liquid_a;AINL_CONT_Liquid_b;AIL_CONT_Gas_a;AIL_CONT_Gas_b;AIL_CONT_Liquid_a;AIL_CONT_Liquid_b;AINL_INST_Gas_a;AINL_INST_Gas_b;AINL_INST_Liquid_a;AINL_INST_Liquid_b;AIL_INST_Gas_a;AIL_INST_Gas_b;AIL_INST_Liquid_a;AIL_INST_Liquid_b
C1-C2;TYPE 0;8.669;0.98;;;55.13;0.95;;;6.469;0.67;;;163.7;0.62;;
C3-C4;TYPE 0;10.13;1;;;64.23;1;;;4.59;0.72;;;79.94;0.63;;
C5;TYPE 0;5.115;0.99;100.6;0.89;62.41;1;;;2.214;0.73;0.271;0.85;41.38;0.61;;
C6-C8;TYPE 0;5.846;0.98;34.17;0.89;63.98;1;103.4;0.95;2.188;0.66;0.749;0.78;41.49;0.61;8.18;0.55
C9-C12;TYPE 0;2.419;0.98;24.6;0.9;76.98;0.95;110.3;0.95;1.111;0.66;0.559;0.76;42.28;0.61;0.848;0.53
C13-C16;TYPE 0;;;12.11;0.9;;;196.7;0.92;;;0.086;0.88;;;1.714;0.88
C17-C25;TYPE 0;;;3.785;0.9;;;165.5;0.92;;;0.021;0.91;;;1.068;0.91
C25+;TYPE 0;;;2.098;0.91;;;103;0.9;;;0.006;0.99;;;0.284;0.99
Pyrophoric;TYPE 1;2.419;0.98;24.6;0.9;76.98;0.95;110.3;0.95;1.111;0.66;0.559;0.76;42.28;0.61;0.848;0.53
Aromatics;TYPE 1;3.952;1.097;21.1;0;80.11;1.055;;;1.804;0.667;14.36;0;83.68;0.713;143.6;0
Styrene;TYPE 1;3.952;1.097;21.1;0;80.11;1.055;;;1.804;0.667;14.36;0;83.68;0.713;143.6;1
Water;TYPE 0;;;;;;;;;;;;;;;;
Steam;TYPE 0;;;;;;;;;;;;;;;;
Acid/Caustic;TYPE 0;;;;;;;;;;;;;;;;
Methanol;TYPE 1;0.005;0.909;340.4;0.934;;;;;4.425;0.667;0.363;0.9;;;;
H2;TYPE 0;13.13;0.992;;;86.02;1;;;9.605;0.657;;;216.5;0.618;;
H2S;TYPE 0;6.554;1;;;38.11;0.89;;;22.63;0.63;;;53.72;0.61;;
HF;TYPE 0;;;;;;;;;;;;;;;;
CO;TYPE 1;0.04;1.752;;;;;;;10.97;0.667;;;;;;
DEE;TYPE 1;9.072;1.134;164.2;1.106;67.42;1.033;976;0.649;24.51;0.667;0.981;0.919;;;1.09;0.919
PO;TYPE 1;3.277;1.114;257;0.96;;;;;10.32;0.667;0.629;0.869;;;;
EEA;TYPE 1;0;1.035;23.96;0;;;;;1.261;0.667;14.13;0;;;;
EE;TYPE 1;2.595;1.005;35.45;0;;;;;6.119;0.667;14.79;0;;;;
EG;TYPE 1;1.548;0.973;22.12;0;;;;;1.027;0.667;14.13;0;;;;
EO;TYPE 1;6.712;1.069;;;;;;;21.46;0.667;;;;;;
